Crop,Model,BLEU-4(‰),Average ROUGE F-score(‰)
grape,Freeze10-MTL(S2.5K+G1.25K),320.99,288.27
grape,Freeze10-MTL(S2.5K+G10K),335.23,299.56
grape,Freeze10-MTL(S2.5K+G2.5K),339.01,299.09
grape,Freeze10-MTL(S2.5K+G20K),307.91,255.45
grape,Freeze10-MTL(S2.5K+G5K),365.35,315.34
grape,Freeze10,306.1,287.22
grape,Freeze15,366.59,322.15
grape,Freeze20,330.21,313.26
grape,Freeze3,117.9,128.49
grape,Freeze30,363.91,329.24
grape,Freeze5,181.98,169.96
grape,Lora10,88.7,111.72
grape,Lora15,93.48,115.81
grape,Lora20,94.87,114.11
grape,Lora3,78.16,106.56
grape,Lora30,98.3,117.09
grape,Lora5,85.55,113.76
peach,ChatGLM3_6B,76.05,127.26
peach,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),196.03,199.08
peach,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),235.55,231.86
peach,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),250.53,232.79
peach,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),363.32,342.18
peach,Freeze10(S2.5K)-DMT(S2.5K+G5K),413.5,396.97
peach,Freeze10-MTL(S2.5K+G1.25K),310.88,290.69
peach,Freeze10-MTL(S2.5K+G10K),333.33,314.35
peach,Freeze10-MTL(S2.5K+G2.5K),310.63,287.32
peach,Freeze10-MTL(S2.5K+G20K),312.17,316.48
peach,Freeze10-MTL(S2.5K+G5K),316.49,291.76
peach,Freeze10,278.62,275.27
peach,Freeze15,332.39,329.09
peach,Freeze20,313.77,310.2
peach,Freeze3,137.86,163.55
peach,Freeze30,339.47,329.54
peach,Freeze5,174.77,186.0
peach,Lora10,104.26,147.2
peach,Lora15,100.95,143.92
peach,Lora20,105.63,142.72
peach,Lora3,95.79,147.36
peach,Lora30,98.49,139.27
peach,Lora5,99.45,151.52
potato,ChatGLM3_6B,92.98,107.57
potato,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),279.3,235.63
potato,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),322.55,281.96
potato,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),394.67,337.15
potato,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),474.32,418.17
potato,Freeze10(S2.5K)-DMT(S2.5K+G5K),506.18,441.12
potato,Freeze10-MTL(S2.5K+G1.25K),375.71,345.81
potato,Freeze10-MTL(S2.5K+G10K),387.28,349.54
potato,Freeze10-MTL(S2.5K+G2.5K),410.5,360.37
potato,Freeze10-MTL(S2.5K+G20K),431.08,384.94
potato,Freeze10-MTL(S2.5K+G5K),418.73,382.71
potato,Freeze10,371.08,342.74
potato,Freeze15,416.5,366.14
potato,Freeze20,439.1,382.67
potato,Freeze3,178.95,164.25
potato,Freeze30,460.15,393.66
potato,Freeze5,255.9,223.93
potato,Lora10,127.8,139.55
potato,Lora15,119.37,126.89
potato,Lora20,121.31,128.55
potato,Lora3,134.53,134.74
potato,Lora30,124.9,132.7
potato,Lora5,132.71,139.12
rice,ChatGLM3_6B,98.16,117.1
rice,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),298.51,254.74
rice,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),358.17,315.64
rice,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),422.38,376.46
rice,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),524.51,479.91
rice,Freeze10(S2.5K)-DMT(S2.5K+G5K),520.15,491.49
rice,Freeze10-MTL(S2.5K+G1.25K),430.43,383.07
rice,Freeze10-MTL(S2.5K+G10K),479.37,447.15
rice,Freeze10-MTL(S2.5K+G2.5K),438.61,403.91
rice,Freeze10-MTL(S2.5K+G20K),451.38,421.96
rice,Freeze10-MTL(S2.5K+G5K),438.97,403.46
rice,Freeze10,419.52,379.83
rice,Freeze15,450.43,406.17
rice,Freeze20,525.91,484.63
rice,Freeze3,188.7,177.82
rice,Freeze30,499.58,466.13
rice,Freeze5,253.62,230.28
rice,Lora10,133.81,142.59
rice,Lora15,125.58,135.27
rice,Lora20,133.06,143.31
rice,Lora3,131.85,140.21
rice,Lora30,125.66,145.04
rice,Lora5,142.36,154.2
soybean,ChatGLM3_6B,92.95,126.0
soybean,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),253.99,244.68
soybean,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),316.56,298.24
soybean,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),348.81,324.98
soybean,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),429.46,413.54
soybean,Freeze10(S2.5K)-DMT(S2.5K+G5K),444.74,414.78
soybean,Freeze10-MTL(S2.5K+G1.25K),373.96,342.33
soybean,Freeze10-MTL(S2.5K+G10K),409.24,373.05
soybean,Freeze10-MTL(S2.5K+G2.5K),359.3,340.38
soybean,Freeze10-MTL(S2.5K+G20K),390.78,368.44
soybean,Freeze10-MTL(S2.5K+G5K),401.07,377.17
soybean,Freeze10,335.54,315.74
soybean,Freeze15,402.9,377.73
soybean,Freeze20,399.39,375.37
soybean,Freeze3,176.7,177.74
soybean,Freeze30,461.8,432.48
soybean,Freeze5,237.56,228.06
soybean,Lora10,133.97,155.84
soybean,Lora15,124.83,149.44
soybean,Lora20,124.94,149.76
soybean,Lora3,128.31,154.46
soybean,Lora30,116.75,149.4
soybean,Lora5,136.29,157.32
strawberry,ChatGLM3_6B,95.32,134.15
strawberry,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),251.18,231.41
strawberry,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),275.06,263.13
strawberry,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),372.11,361.6
strawberry,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),426.33,392.85
strawberry,Freeze10(S2.5K)-DMT(S2.5K+G5K),420.6,411.06
strawberry,Freeze10-MTL(S2.5K+G1.25K),339.96,317.2
strawberry,Freeze10-MTL(S2.5K+G10K),344.47,336.67
strawberry,Freeze10-MTL(S2.5K+G2.5K),368.49,339.71
strawberry,Freeze10-MTL(S2.5K+G20K),352.58,333.66
strawberry,Freeze10-MTL(S2.5K+G5K),367.19,344.0
strawberry,Freeze10,334.39,327.9
strawberry,Freeze15,391.41,373.62
strawberry,Freeze20,393.68,376.05
strawberry,Freeze3,167.75,185.59
strawberry,Freeze30,396.94,370.81
strawberry,Freeze5,207.85,221.16
strawberry,Lora10,124.8,165.17
strawberry,Lora15,120.48,158.67
strawberry,Lora20,121.68,167.88
strawberry,Lora3,117.72,166.16
strawberry,Lora30,127.14,163.43
strawberry,Lora5,123.64,162.91
tomato,ChatGLM3_6B,87.97,120.65
tomato,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),266.17,262.39
tomato,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),311.11,303.26
tomato,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),385.09,373.26
tomato,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),460.63,447.44
tomato,Freeze10(S2.5K)-DMT(S2.5K+G5K),489.9,486.52
tomato,Freeze10-MTL(S2.5K+G1.25K),379.46,378.45
tomato,Freeze10-MTL(S2.5K+G10K),397.24,388.93
tomato,Freeze10-MTL(S2.5K+G2.5K),421.8,417.19
tomato,Freeze10-MTL(S2.5K+G20K),406.03,403.71
tomato,Freeze10-MTL(S2.5K+G5K),370.81,362.69
tomato,Freeze10,366.33,365.39
tomato,Freeze15,420.54,411.97
tomato,Freeze20,427.24,419.69
tomato,Freeze3,174.25,182.06
tomato,Freeze30,463.09,461.05
tomato,Freeze5,212.67,223.08
tomato,Lora10,127.81,162.64
tomato,Lora15,124.02,159.16
tomato,Lora20,122.87,156.88
tomato,Lora3,116.94,163.98
tomato,Lora30,118.49,150.95
tomato,Lora5,120.65,161.48
wheat,ChatGLM3_6B,80.0,131.5
wheat,Freeze10(S2.5K)-DMT(S0.1K+G2.5K),184.39,185.91
wheat,Freeze10(S2.5K)-DMT(S0.5K+G2.5K),222.45,237.89
wheat,Freeze10(S2.5K)-DMT(S1.25K+G2.5K),306.57,306.92
wheat,Freeze10(S2.5K)-DMT(S2.5K+G2.5K),329.95,323.8
wheat,Freeze10(S2.5K)-DMT(S2.5K+G5K),360.02,348.51
wheat,Freeze10-MTL(S2.5K+G1.25K),261.56,274.62
wheat,Freeze10-MTL(S2.5K+G10K),299.43,299.17
