Metric,Precision,Recall,F-score
ROUGE-1,0.419313769584632,0.3841028973969911,0.38557180092041865
ROUGE-2,0.1909884916417419,0.1863270505701906,0.1868515628048578
ROUGE-L,0.4157979559312984,0.37655636463143444,0.37702996636101943
BLEU-4,-,-,0.31217162781045993
Average ROUGE F-score,-,-,0.31648444336209863
