Metric,Precision,Recall,F-score
ROUGE-1,0.26901080519421144,0.2380158033773351,0.24178858370568743
ROUGE-2,0.009807731611135634,0.0060533453500794705,0.006968632392574267
ROUGE-L,0.27161655617025915,0.23837422233140482,0.24189038865619727
BLEU-4,-,-,0.13785528590472967
Average ROUGE F-score,-,-,0.16354920158481964
