Metric,Precision,Recall,F-score
ROUGE-1,0.25388849214070497,0.21408455980512428,0.22141364067597585
ROUGE-2,0.0005184331797235024,0.0006363835856923415,0.0005705507554552426
ROUGE-L,0.25537824816440613,0.2127249650685925,0.21962271049768078
BLEU-4,-,-,0.1042645583520371
Average ROUGE F-score,-,-,0.1472023006430373
