Metric,Precision,Recall,F-score
ROUGE-1,0.43852539084450587,0.4146790389390274,0.4140498878329395
ROUGE-2,0.18918574623842338,0.18534862773894625,0.18550196534466504
ROUGE-L,0.43742121697864406,0.4117568081769502,0.4104459759263672
BLEU-4,-,-,0.34446513221186364
Average ROUGE F-score,-,-,0.33666594303465724
