Metric,Precision,Recall,F-score
ROUGE-1,0.29147283074703356,0.2660317194852906,0.2643317147993698
ROUGE-2,0.02207699789778756,0.021195529904780196,0.020607251380644124
ROUGE-L,0.2916406505607806,0.2631521849501378,0.26125532302435317
BLEU-4,-,-,0.17424556102593786
Average ROUGE F-score,-,-,0.18206476306812236
