Metric,Precision,Recall,F-score
ROUGE-1,0.315430099872185,0.3041002675044035,0.3013489989438546
ROUGE-2,0.10680037641217766,0.10392205185963478,0.10457271552575093
ROUGE-L,0.31478482545839653,0.30410876497610023,0.30096224966738094
BLEU-4,-,-,0.2793019244358699
Average ROUGE F-score,-,-,0.23562798804566212
