Metric,Precision,Recall,F-score
ROUGE-1,0.20670735721155772,0.19573579429835944,0.18952798534017093
ROUGE-2,0.0037972411186696898,0.0038129798703106974,0.003566131646088222
ROUGE-L,0.20659911446564844,0.1947132650376077,0.1875742812930706
BLEU-4,-,-,0.11937007544952671
Average ROUGE F-score,-,-,0.12688946609310991
