Metric,Precision,Recall,F-score
ROUGE-1,0.4710139279370929,0.4653488260883514,0.46073719152301507
ROUGE-2,0.2639843122776242,0.264444906521327,0.26237240903014963
ROUGE-L,0.46842492123681,0.4631111558677377,0.4578698116240358
BLEU-4,-,-,0.46014635944322485
Average ROUGE F-score,-,-,0.39365980405906686
