Metric,Precision,Recall,F-score
ROUGE-1,0.12322099819704863,0.11787798417771954,0.11634143053299627
ROUGE-2,0.009248580598831225,0.007745737075802434,0.008198475353968768
ROUGE-L,0.13083337557282573,0.12434131681971146,0.12255874741656475
BLEU-4,-,-,0.1054077593761851
Average ROUGE F-score,-,-,0.08236621776784327
