Metric,Precision,Recall,F-score
ROUGE-1,0.12143989765455776,0.12568569717814196,0.11890767975979827
ROUGE-2,0.003331197950032031,0.002842001048279075,0.0027706597539137595
ROUGE-L,0.12167488819943031,0.1254185000675544,0.11762164538484987
BLEU-4,-,-,0.08506210136540115
Average ROUGE F-score,-,-,0.07976666163285397
