Metric,Precision,Recall,F-score
ROUGE-1,0.4667004916061544,0.45022741445927145,0.44091912009359474
ROUGE-2,0.25298381171321815,0.2500804684088255,0.24470582125950457
ROUGE-L,0.4636624266697163,0.4439579220045229,0.43352906070774305
BLEU-4,-,-,0.40924407831396986
Average ROUGE F-score,-,-,0.3730513340202808
