Metric,Precision,Recall,F-score
ROUGE-1,0.2605523984556829,0.25510285045941944,0.2434999076226776
ROUGE-2,0.011972402667278571,0.010572033769061037,0.010575150849005751
ROUGE-L,0.26109205963889015,0.2536359739577727,0.24181324299169046
BLEU-4,-,-,0.1376406642770815
Average ROUGE F-score,-,-,0.16529610048779128
