Metric,Precision,Recall,F-score
ROUGE-1,0.2940692591547576,0.26951534390031784,0.2656716321977247
ROUGE-2,0.02851525824671485,0.030059102315103767,0.028613042714101422
ROUGE-L,0.2937918703421413,0.2673626051540472,0.26345271034621404
BLEU-4,-,-,0.18438553654677858
Average ROUGE F-score,-,-,0.18591246175268006
