Metric,Precision,Recall,F-score
ROUGE-1,0.17169637587780304,0.15341436266188374,0.15712859816312308
ROUGE-2,0.016064856557860406,0.012355781957241187,0.013314714742403953
ROUGE-L,0.18446183966546578,0.1651251756319517,0.1679811762375295
BLEU-4,-,-,0.12480721267265887
Average ROUGE F-score,-,-,0.11280816304768553
