Metric,Precision,Recall,F-score
ROUGE-1,0.13733566580113438,0.10343107827680832,0.11381576283380054
ROUGE-2,0.0008313643125929815,0.00039037230364273123,0.0005119453629313632
ROUGE-L,0.13615837420432758,0.10171152641116603,0.11132912367226301
BLEU-4,-,-,0.05862318026335932
Average ROUGE F-score,-,-,0.07521894395633165
