Model,Accuracy,Precision,Recall,F1-Score,Params (M),FPS,Latency (ms)
EfficientNet-B0,0.9669503546099291,0.9518839229930904,0.948819803637257,0.9462966403428484,4.09,168.70869571163442,5.927376747131348
EfficientNet-B1,0.9644917257683215,0.9588867151939244,0.9359778386786684,0.9415793927643599,6.59,88.40804543431045,11.311187744140625
EfficientNet-B2,0.9791962174940898,0.9744721070899817,0.969820911692844,0.9712230266225813,7.79,103.71184340992882,9.64210033416748
EfficientNetV2-S,0.8990808210696766,0.9110073350842304,0.8990808210696766,0.8978279257613896,20.255629,81.75881377612184,12.231097221374512
FasterNet-T0,0.9782978723404255,0.9696288175909613,0.9649451086659221,0.9660314213929689,2.70,335.568480930627,2.98001766204834
FasterNet-T1,0.9669976359338062,0.9522792868963018,0.9464402946144659,0.945717105186542,6.39,188.67934034494237,5.299997329711914
MobileNetV3-Small,0.9594326241134752,0.9600066336830145,0.942755575270968,0.9471323220009118,1.58,239.93583869059674,4.167780876159668
ResNet-34,0.977872340425532,0.9675170591213007,0.9689835574318458,0.9678189189089769,21.32,302.7032020415469,3.3035659790039062
ResNet-50,0.9811347517730497,0.9718267369055027,0.9728979788103109,0.9722473995781742,23.63,212.72224160736167,4.700965881347656
Swin-transformer-Tiny,0.9782505910165484,0.9737573265543332,0.9626136747891489,0.9658650492473034,27.57,99.8683281291594,10.013184547424316
