Model,Accuracy,Precision,Recall,F1-Score,Params (M),FPS,Latency (ms)
EfficientNet-B0,0.9695508274231679,0.9560377191165688,0.9525543226922656,0.9528994821725362,4.09,88.3395226894381,11.319961547851562
EfficientNet-B1,0.97096926713948,0.9589200617746659,0.9547372773666966,0.9558482003009647,6.59,67.47612847012749,14.820055961608887
EfficientNet-B2,0.9793853427895981,0.9706872562228411,0.9716111849799937,0.9708640697044738,7.79,76.665143467119,13.043737411499023
EfficientNetV2-S,0.8936990998714102,0.9047288391179515,0.8936990998714102,0.8898588763059555,20.255629,88.02627248977508,11.360244750976562
FasterNet-T0,0.9775886524822694,0.9688458191406708,0.964309420714349,0.9653115287979568,2.70,285.7684802633731,3.4993362426757812
FasterNet-T1,0.9795744680851064,0.9712028131095715,0.9658058940620452,0.9668653829527496,6.39,329.8342298134692,3.0318260192871094
MobileNetV3-Small,0.9578250591016548,0.9552965673866259,0.9364217884772376,0.9413648438004898,1.58,235.50856955477843,4.246129989624023
ResNet-34,0.9560283687943263,0.9530629488176892,0.9513710330155125,0.9503276908017801,21.32,267.28591274646004,3.741312026977539
ResNet-50,0.9602364066193854,0.9476637913182995,0.9522375280850944,0.9480214202650463,23.63,182.56615258185718,5.477466583251953
Swin-transformer-Tiny,0.9804255319148936,0.9733450453042952,0.9682526866331426,0.9698877508997537,27.57,98.35574434237512,10.167174339294434
